FoodEx2,Food item,L1,GHGE of 1 kg food as consumed_kgCO2eq,Land use of 1 kg food as consumed_m2/yr
A03MB,Beer,Alcoholic beverages,0.430349986,0.573546129
A03MD,"Beer, strong",Alcoholic beverages,0.430349986,0.573546129
A03ME,"Beer, regular",Alcoholic beverages,0.430349986,0.573546129
A03MF,"Beer, light",Alcoholic beverages,0.430349986,0.573546129
A03MG,"Beer, alcohol-free",Alcoholic beverages,0.430349986,0.573546129
A0DCH,Soyabeans for consumption (dry),"Legumes, nuts, oilseeds and spices",1.296118296,2.329043625
A03TF,Textured soy protein,"Products for non-standard diets, food imitates and food supplements",2.278272141,4.537117418
A03TS,Non dairy coffee creamer,"Products for non-standard diets, food imitates and food supplements",0.637959801,1.348532121
A03TT,Tofu,"Products for non-standard diets, food imitates and food supplements",2.278272141,4.537117418
A03TJ,Soya drink,"Products for non-standard diets, food imitates and food supplements",0.530059867,1.008248315
A03PF,Whisky,Alcoholic beverages,1.272915935,0.893636323
A03PG,Gin,Alcoholic beverages,1.224514835,0.893636323
A03PH,Vodka and vodka-like spirits,Alcoholic beverages,1.224514835,0.893636323
A03PJ,Rum,Alcoholic beverages,1.292646635,0.893636323
A03TV,Soya yoghurt,"Products for non-standard diets, food imitates and food supplements",0.637959801,1.348532121
A044R,Soy sauce,"Seasoning, sauces and condiments",1.610136508,3.276807024
A03MQ,Shandy,Alcoholic beverages,0.818116653,0.573546129
A03PN,Cocktail drink,Alcoholic beverages,1.292646635,0.893636323
A036X,"Soya bean oil, refined",Animal and vegetable fats and oils and primary derivatives thereof,4.586731918,12.90325015
A035A,"Caramel, soft","Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A03NS,Liqueurs,Alcoholic beverages,1.005675535,0.893636323
A04QG,Unsweetened flavoured spirits,Alcoholic beverages,1.235205835,0.893636323
A04QF,Unsweetened spirits and liqueurs,Alcoholic beverages,1.235205835,0.893636323
A032H,Sucrose (common sugar),"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A032J,White sugar,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A03ND,Cider,Alcoholic beverages,0.959971115,0.457317073
A0CSC,Spirits not from fruit,Alcoholic beverages,1.235205835,0.893636323
A032K,Refined beet sugar,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A036N,"Vegetable fats and oils, edible",Animal and vegetable fats and oils and primary derivatives thereof,3.858805578,14.18037436
A036P,Olive oil,Animal and vegetable fats and oils and primary derivatives thereof,3.791529078,14.18037436
A012P,Peanuts (fresh seeds),"Legumes, nuts, oilseeds and spices",2.290567495,7.461169345
A036V,Rapeseed oil,Animal and vegetable fats and oils and primary derivatives thereof,3.110744146,10.6822371
A015J,Poppy seeds,"Legumes, nuts, oilseeds and spices",1.106591146,6.571545408
A037M,Coconut oil/fat,Animal and vegetable fats and oils and primary derivatives thereof,1.112563255,0.797978692
A037V,Pork lard,Animal and vegetable fats and oils and primary derivatives thereof,11.51580801,18.93939394
A039C,Butter,Animal and vegetable fats and oils and primary derivatives thereof,33.6117324,33.38683788
A039D,Traditional margarine,Animal and vegetable fats and oils and primary derivatives thereof,3.905315245,13.42785406
A039E,Blended margarine,Animal and vegetable fats and oils and primary derivatives thereof,3.905315245,13.42785406
A032M,Brown sugar,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A039H,Functional vegetable margarines/fats,Animal and vegetable fats and oils and primary derivatives thereof,3.905315245,13.42785406
A037X,Beef tallow (including processed suet),Animal and vegetable fats and oils and primary derivatives thereof,33.32494487,58.86994949
A036Q,"Olive oil, virgin or extra-virgin",Animal and vegetable fats and oils and primary derivatives thereof,3.791529078,14.18037436
A032Q,Flavoured sugar,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A034X,Hard candies,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A035B,Toffee,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A037K,Walnut oil,Animal and vegetable fats and oils and primary derivatives thereof,6.037234668,23.17583039
A037R,Cocoa butter,Animal and vegetable fats and oils and primary derivatives thereof,36.39617902,49.85512087
A039F,Butter and margarine/oil blends,Animal and vegetable fats and oils and primary derivatives thereof,4.343390405,13.42785406
A035F,"Dragée, sugar coated","Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A035J,Liquorice candies,"Sugar and similar, confectionery and water-based sweet desserts",0.600784082,1.160147313
A0F1G,Margarines and similar,Animal and vegetable fats and oils and primary derivatives thereof,4.260315245,13.42785406
A03GN,"Coffee ground, roasted","Coffee, cocoa, tea and infusions",0.572037013,0.398128648
A03GQ,Instant coffee powder,"Coffee, cocoa, tea and infusions",0.572037013,0.398128648
