Points;Energy density (kJ/100g);Added sugars (g/100g);Saturated fat (g/100g);Sodium (mg/100g);Points;Fruits, vegetables, pulses, nuts and rapeseed, walnut and olive oils (%);Fibre (g/100g);Protein (g/100g)
0;≤ 335;≤ 4.5;≤ 1;≤ 90;0;≤ 40;≤ 0.9;≤ 1.6
1;> 335;> 4.5;> 1;> 90;1;> 40;> 0.9;> 1.6
2;> 670;> 9;> 2;> 180;2;> 60;> 1.9;> 3.2
3;> 1005;> 13.5;> 3;> 270;3;-;> 2.8;> 4.8
4;> 1340;> 18;> 4;> 360;4;-;> 3.7;> 6.4
5;> 1675;> 22.5;> 5;> 450;5;> 80;> 4.7;> 8.0
6;> 2010;> 27;> 6;> 540;;;;
7;> 2345;> 31;> 7;> 630;;;;
8;> 2680;> 36;> 8;> 720;;;;
9;> 3015;> 40;> 9;> 810;;;;
10;> 3350;> 45;> 10;> 900;;;;
