No,Selected Meals,Calorie,Protein ,Carbohydrates ,Sugar,Fat ,Saturated ,Fiber,Sodium,Source,Country
1,Selected Meals,249.7273719,15.31079607,24.85278081,1.014176663,10.63249727,5.98691385,0.392584515,0.717557252,Ministry of Food (Jamie),UK
2,Baked Camembert Pasta,57.36986301,6.438356164,2.361643836,1.473972603,1.835616438,0.723287671,0.630136986,0.065753425,Ministry of Food (Jamie),UK
3,Beef and Ale Stew,235.5414013,11.2866242,32.78980892,1.070063694,7.52866242,1.732484076,0.445859873,0.277707006,Ministry of Food (Jamie),UK
4,Broccoli and Pesto Tagliatelle,147.6829268,13.19512195,13.12195122,0.829268293,5.048780488,2.024390244,0.841463415,0.396341464,Ministry of Food (Jamie),UK
5,Butterflied Steak Sarnie,126.1818182,6.029090909,10.13090909,1.272727273,6.167272727,3.512727273,0.538181818,0.077090909,Ministry of Food (Jamie),UK
6,Chicken and Leek Stroganoff,78.73972603,7.315068493,2.77260274,1.884931507,2.438356164,0.668493151,0.630136986,0.051506849,Ministry of Food (Jamie),UK
7,Chicken and White Wine Stew,97.11055276,6.042713568,14.76130653,2.22361809,1.959798995,0.540201005,0.728643216,1.133165829,Ministry of Food (Jamie),UK
8,Chicken Chow Mein,116.6977033,9.056486654,9.869646182,2.25946617,4.903786468,2.054624457,1.049037865,0.292364991,Ministry of Food (Jamie),UK
9,Chicken fajitas,94.03528423,3.772052646,16.04592551,3.158779053,1.809017082,0.498459815,1.837020442,0.258471016,Ministry of Food (Jamie),UK
10,Good Old Chilli Con Carne,126.6535044,9.190523198,1.855873643,1.717670286,9.220138203,4.244817374,0.503455084,0.086870681,Ministry of Food (Jamie),UK
11,Griddled Lamb Chops with Chunky Salsa,170.7216495,9.587628866,18.19587629,1.391752577,6.536082474,1.103092784,0.18556701,0.181443299,Ministry of Food (Jamie),UK
12,Super-quick Salmon Stir-Fry,109.8422239,15.17655898,1.39744553,1.006761833,4.86851991,0.931630353,0.390683696,3.2081142,Ministry of Food (Jamie),UK
13,Italian Pan-Seared Tuna,125.137741,13.05096419,15.20661157,0.578512397,1.301652893,0.110192837,0.475206612,0.271349862,Ministry of Food (Jamie),UK
14,Kedgeree,65.04109589,4.438356164,2.005479452,1.117808219,2.383561644,1.079452055,0.876712329,0.066849315,Ministry of Food (Jamie),UK
15,Lamb and Red Wine Stew,155.4630083,8.47133758,19.89710926,2.087212151,5.183733464,2.018618324,1.038706516,0.250857423,Ministry of Food (Jamie),UK
16,Meatballs and Pasta,222.2594142,11.94979079,21.48953975,1.707112971,10.46025105,5.29707113,1.280334728,0.692050209,Ministry of Food (Jamie),UK
17,Mini Shell Pasta with a Creamy Smoked Bacon and Pea Sauce,122.7716331,5.588809369,13.50032531,2.602472349,5.491216656,2.108002602,0.852309694,0.201691607,Ministry of Food (Jamie),UK
18,Moroccan Lamb with Couscous,110.708402,5.568369028,17.84184514,3.896210873,1.894563427,0.518945634,0.807248764,0.252883031,Ministry of Food (Jamie),UK
19,My Sweet and Sour Pork,59.28767123,5.890410959,2.663013699,1.775342466,2.054794521,0.695890411,0.630136986,0.067945206,Ministry of Food (Jamie),UK
20,Pork and Cider Stew,72.64150943,9.103773585,3.028301887,2.349056604,2.735849057,0.91509434,0.433962264,0.058490566,Ministry of Food (Jamie),UK
21,Pork Kebabs,123.8271605,11.64197531,1.580246914,1.185185185,7.913580247,0.987654321,0.679012346,0.1,Ministry of Food (Jamie),UK
22,Salmon Baked in a Foil Parcel with Green Beans and Pesto,66.58064516,7.812903226,7.935483871,1.574193548,0.625806452,0.122580645,0.290322581,0.120645161,Ministry of Food (Jamie),UK
23,Selected Meals,95.54817276,4.315614618,13.01993355,5.358803987,3.299003322,1.880398671,1.202657807,0.509966778,Baking Made Easy (Lorraine),UK
24,"Butternut Squash with Quinoa, Feta, Basil and Mint",372.1710526,4.223684211,32.53947368,17.39473684,25.91447368,11.42105263,2.690789474,0.471710526,Baking Made Easy (Lorraine),UK
25,"Fig, Cream Cheese, and Mint Tart",219.8852772,11.07711918,10.21032505,1.899298917,15.27087317,6.067558955,0.229445507,1.273422562,Baking Made Easy (Lorraine),UK
26,Incredibly Naughty Mini Toad-in-the-Hole,118.8635782,7.1640645,7.448169951,3.772715639,6.718710008,2.966470438,0.657793704,0.212439212,Baking Made Easy (Lorraine),UK
27,"Pork with Calvados, Caramelised Apples and Mustard Mash",231.627907,11.9255814,27.46046512,10.15813953,8.986046512,3.934883721,2.204651163,1.259534884,Baking Made Easy (Lorraine),UK
28,"Prosciutto, Mozzerella and Fig Pizza",225.1784864,12.18467396,10.50928129,1.494526416,14.16468348,6.273203237,0.285578296,0.55592575,Baking Made Easy (Lorraine),UK
