No,Selected Meals,Ingredients,Weight,kJ,Calorie,Fat,Saturated ,Carbohydrates,Sugar,Fiber,Protein ,Sodium,Source,Country
1,Angus tenderloin with sour honey sauce and grilled asparagus,"
400 g beef tenderloin, angus
200 g potatoes 
2 tablespoons of honey
4 tablespoons soy sauce
1 piece of lemon, juice and peel
1 tablespoon cucumber, sliced
1 tablespoon shallots
300 g of asparagus",100,343.7213566,81.48487626,1.429880843,0.586617782,7.653528873,0.06416132,1.099908341,8.93675527,0.352153987,Kolonialen,Norway
2,Asian everyday salad with carbonated dough,"Asian everyday salad
0.25 pcs head cabbage
2 carrots, normal size
2 spring onions
50 g spinach, fresh
1 bell pepper, red
1 handful of cashew nuts 
1 tablespoon sesame seeds
2 tablespoons coriander, fresh
300 g of chop dough
1 pc yellow onion
2 cloves of garlic
1 piece of lime, the juice
2 tablespoons of fish sauce
2 tablespoons soy sauce",100,268.9152996,63.86006026,1.941747573,0.443588885,4.075995983,0,1.757616337,6.678942082,0.415801808,Kolonialen,Norway
3,Beef with broccoli pan,"600 g of potatoes
1 piece yellow onion, coarsely chopped
1 piece of broccoli, in bouquets and stems
2 tablespoons olive oil
1 teaspoon salt, sea salt
1 teaspoon pepper, m / mill
1 teaspoon paprika spice
600 g outer fillet, cattle, slices
2 tsp salt, sea salt
2 teaspoons pepper, with grinder
2 tablespoons canola oil
2 tablespoons butter
3 dl crème fraîche
1 handful of dill, fresh, coarsely chopped",100,562.7071823,135.0368324,8.94106814,4.433701657,5.653775322,0,1.26611418,7.403314917,0.269751381,Kolonialen,Norway
4,Steak with béarnaise,"4 pcs outer fillet, cattle, slices
4 cloves of garlic
2 tablespoons butter, for frying
2 tablespoons olive oil, extra virgin, for frying
1 pinch of pepper, whole
250 g butter, unsalted
1 tablespoon shallots, finely chopped
1 dl white wine, dry
1 cup white wine vinegar
1 tablespoon vinegar (brown)
3 eggs
3 tablespoons water, cold
1 tablespoon tarragon, fresh, chopped
1 tablespoon chervil
0.5 pcs lemon
1 pinch of salt, sea salt
1 pinch of white pepper, ground
400 g of asparagus beans
1 pinch of salt, sea salt
1 shallot, finely chopped
2 tablespoons butter
1 potato
1 tablespoon butter, for frying
1 tablespoon olive oil, extra virgin, for frying
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
1 handful of leaf parsley",100,881.5572078,212.7736473,17.80772408,10.04750103,1.647046675,0,0.340768278,10.41924824,0.142090046,Kolonialen,Norway
5,Brown stew,"800 g of cattle, shredded
28 g beef fund
5 dl water
1 piece of parsley root
1 pc yellow onion
4 pieces of carrot, normal size
0.5 kg of potatoes
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
1 tablespoon butter, for frying
1 handful of parsley, fresh, finely chopped",100,379.3911007,90.11070896,2.400468384,1.144347456,6.099638067,0,1.399829679,10.33106238,0.044017458,Kolonialen,Norway
6,Côte de boeuf with maître sauce and baked beets,"
250 g beetroot
1 piece of onion, split in two
3 tablespoons olive oil
1 clove of garlic, finely chopped
1 handful of thyme, fresh, finely chopped
2 tablespoons balsamic vinegar
1 pinch of salt, sea salt
1 piece heart salad
1 cote de boef of angus
200 g butter
2 cloves of garlic, finely chopped
1 hp parsley, fresh, finely chopped
1 hp anchovies, can be looped",100,950.522265,229.9798424,20.64321056,11.28825362,4.572109218,0.219901045,2.373098772,5.295950156,0.180135606,Kolonialen,Norway
7,Elin's homemade vegetable burger,"160 g lentils, red
1 piece of broccoli, only the stem
0.5 pcs cauliflower
1 piece of carrot, normal size
0.5 pcs yellow onion, finely chopped
3 dl oatmeal
3 tsp vegetable broth
2 tsp paprika spices
1 clove of garlic, squeezed
2 pinches of salt, sea salt, (customize)
2 pinch pepper, w / mill, (customize)
1 handful of parsley, fresh",100,371.2725381,87.98543689,1.317614424,0.27739251,12.75138696,0.017337032,3.796809986,4.446948682,0.128814147,Kolonialen,Norway
8,Simple meatballs with bean salad,"
600 g of chop dough
1 egg
100 g of parmesan, grated
0.5 tsp oregano, dried
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
2 tablespoons canola oil
300 g of asparagus beans
1 piece of kidney beans
1 pcs beans, white
0.5 pcs red onion, in cubes
1 handful parsley, fresh, coarsely chopped
2 tablespoons olive oil
1 piece of lemon, the juice of
1 pinch of salt, sea salt
1 pinch of pepper, w / mill",100,695.0739504,165.4937977,5.629770992,1.908396947,10.68105916,0,4.395276718,15.86354962,0.222566794,Kolonialen,Norway
9,A very simple taco,"8 pieces of tortillas
400 g minced beef, cattle
2 tablespoons olive oil, for frying
1 hp taco seasoning
1.5 dl water
1 piece iceberg lettuce, shredded
2 pieces of tomato
1 piece of corn
0.5 cucumber
1 taco sauce, medium
100 g of grated cheese
1 hp guacamole spice mix
1 piece avocado",100,487.387935,116.243732,4.854885276,1.432153168,10.71645647,0,1.557514056,6.659322291,0.490464975,Kolonialen,Norway
10,Faith Spiced Salmon With Quinoa Salad,"
500 g of salmon fillet
1 spice mix, fajita
100 g of quinoa
4 DL water
1 teaspoon salt, sea salt
2 cups yogurt, Greek
4 tablespoons salsa
2 tablespoons olive oil
1 piece sweet potato, toasted, in pieces
100 g cherry tomatoes, red, cut in halves
0.5 bell peppers, yellow, shredded
100 g spinach, fresh
1 piece coriander, fresh
1 pinch of salt, sea salt
1 pinch of pepper, w / mill
1 tablespoon olive oil
4 pieces tortilla",100,557.7023955,133.3275048,6.071865711,1.280818325,11.57982165,0.43713936,1.433817101,7.339569855,0.36195139,Kolonialen,Norway
