No,Selected Meals,Ingredients,Weight,kJ,Calorie,Fat ,Saturated ,Carbohydrates ,Sugar,Fiber,Protein,Sodium,Source,Country
1,7-layer Gratin Tacodip,"400 g of meat dough
1 tbsp Tine Dairy butter
1 pack of taco seasoning
2 tbsp Tine Light Cream Fraîche 10%
4 dl vegetables in cubes. Eg. tomato, cucumber and corn
1 cup Tine Light flow 10%
5 dl tomato salsa
4 dl Tine Genuine Grated Cheese Original
1 dl jalapenos
3 tablespoons minced fresh coriander
3 pieces of avocado
3 tbsp Tine Light flow 10%
4 drops of tabasco
½ teaspoon salt
½ tsp pepper
½ pcs of lime
1 bag of nacho chips",100,743.3679381,178.4577622,11.39803362,4.171799369,10.55085153,0,1.41960242,7.702487968,0.340887755,Tine,Norway
2,Ajo Bianco With Coppa Ham,"4 tablespoons of almonds
1 piece of shallots in slices
3 cloves of garlic minced
1 dl sherry
20 grapes
½ stem celery
1 slice of bread (old-fashioned)
2 tablespoons Tine Dairy butter
6 dl water or chicken broth
3 dl Tine Cream
1 dl Tinemelk® Low-fat 1% fat
8 slices of cured ham (eg Coppa)",100,615.2215293,147.3250901,8.457264891,4.023584395,6.677602563,1.949890899,0.696389607,9.540537613,7.435893468,Tine,Norway
3,Pineapple And Chicken Kebab,"½ pcs of ripe pineapple divided into large pieces
2 large chicken breasts divided into pieces
6 tablespoons of sunflower oil
2 teaspoons finely grated fresh ginger
1 teaspoon of turmeric
1 tsp finely grated garlic
1 piece of lemongrass, finely chop the white part
¼ tsp salt
It's pepper
1 piece onion, finely chopped
1 box crushed canned tomatoes
1 teaspoon chili powder
1 pc of coconut milk
8 tbsp Tine Light 2% (a good alternative to sour cream)
3 ½ dl rice",100,583.6612489,139.0504705,5.504704876,2.181351583,12.75449102,0,0.739948674,9.268605646,0.059580838,Tine,Norway
4,Duck Breast With PasTine Pure,"2 pieces of duck breast
1 tbsp Tine Dairy butter (for roasting apple boats)
1 teaspoon salt
½ teaspoon freshly ground pepper
2 stems fresh rosemary
500 g parsnip root
1 liter of water
1 teaspoon salt
1 dl Tine Food cream
140 g called Tine Dairy butter
1 teaspoon freshly ground pepper
4 carrots
4 pieces of apples
1 orange",100,781.2685804,188.907651,17.06661593,6.147882132,2.670820748,0,1.695721455,5.322615169,0.183390016,Tine,Norway
5,Orange Glazed Trout With Cauliflower Rice,"800 g trout
1 teaspoon dried chili flake
1 teaspoon salt
½ tsp pepper
2 tablespoons Tine Dairy butter
1 dl Sunniva® Original Orange Juice or other good orange juice
1 dl of lime
4 tablespoons pomegranate kernels
4 spring onions
1 cauliflower
½ piece lemon
½ teaspoon salt
½ tsp pepper
2 tablespoons Tine Dairy butter
1 garlic clove
1 dl chopped leaf parsley",100,364.7952265,87.22538649,4.095470572,1.838893409,2.468131272,0,1.193382154,9.530783835,0.270626526,Tine,Norway
6,Asian Fish Cakes With Mango And Cream Dressing,"800 g chilled pollock fillet without skin and bones, in pieces
1 egg yolk
2 tablespoons Tinemelk® Whole milk 3.5% fat
2 tablespoons red curry paste
2 tablespoons lime juice
½ teaspoon salt
½ teaspoon sugar
2 tablespoons of fish sauce
2 tablespoons grilling flour
3 spring onions, finely sliced
4 tablespoons sesame seeds
2 tablespoons Tine Dairy butter
4 dl rice, uncooked
8 leaves heart salad or other salad
3 dl Tine Lightroom 18%
1 dl mayonnaise
2 tablespoons mangochutney
2 tablespoons coriander, finely chopped",100,743.1382703,177.3174521,8.192646297,3.065769032,16.10046608,0.440186432,0.652511652,9.471776282,0.172708441,Tine,Norway
7,Asian Salmon Cakes,"600 g of salmon fillet
2 garlic cloves
1 piece of red chili
3 tablespoons coriander, chopped
3 spring onions
1 egg
1 tablespoon potato flour
1 piece of lime, grated peel
½ teaspoon salt
2 tablespoons Tine Dairy butter for frying
250 g egg noodles
150 g of pepper
150 g carrots
150 g leeks
150 g of mushroom or other mushrooms
4 tablespoons soy sauce",100,786.696604,187.8753859,7.841706427,2.161100196,16.66011788,0,3.351108616,10.96267191,0.347852933,Tine,Norway
8,Baked Almond Potatoes w/Cream Butter,"1 kg of small almond potatoes or amandine potatoes
6 dl Tine Seatroom
½ tablespoon flake salt
1 tablespoon flake salt
1 tablespoon finely chopped thyme
½ piece lemon, the shell
½ tsp pepper",100,649.430114,156.6286743,12.74745051,7.942411518,8.098380324,0,1.079784043,1.859628074,0.2014997,Tine,Norway
9,Baked Halibut With Cream Sauce In Shape,"
1 ½ kg halibut in slices
½ teaspoon salt
½ tsp pepper
2 teaspoons paprika powder
500 g potatoes (small potatoes)
2 tablespoons Tine Dairy butter
1 piece of onion
2 sweet pepper red
1 piece squash
2 tablespoons Tine Dairy butter
1 cup dry white wine
2 dl of fishing stock
3 dl Tine Cream
2 tablespoons chopped dill",100,535.0645161,128.4193548,8.206451612,3.712903225,3.14516129,0.270967742,0.432258064,9.712903225,1.082580645,Tine,Norway
10,Baked SALMA With Chives Butter Sauce,"
600 g SALMA salmon
½ piece lemon
1 teaspoon salt
½ teaspoon freshly ground pepper
1 piece of shallots
1 cup white wine
2 tablespoons white wine vinegar
100 g Tine Dairy butter
2 tablespoons finely chopped chives
1 bunch of asparagus
1 liter of water
½ tablespoon salt
1 dl finely chopped herbs",100,449.7299951,108.4928817,8.757977418,3.485517919,0.324005891,0,0.245459008,6.121747668,0.242808051,Tine,Norway
