No,Selected Meals,% Fruit / Veg,Calories ,Protein ,Carbohydrate ,Sugar ,Sodium ,Fat ,Sat Fat ,Fibre ,Recipe Size ,Servings,Salt
1,Baked Camembert Pasta,18,2290,140.4,227.9,9.3,6.58,97.5,54.9,3.6,917,4,16.45
2,Beef and Ale Stew,44,1047,117.5,43.1,26.9,1.2,33.5,13.2,11.5,1825,4,3
3,Broccoli and Pesto Tagliatelle,10,1849,88.6,257.4,8.4,2.18,59.1,13.6,3.5,785,2,5.45
4,Butterflied Steak Sarnie,27,1211,108.2,107.6,6.8,3.25,41.4,16.6,6.9,820,2,8.125
5,Chicken and Leek Stroganoff,38,1735,82.9,139.3,17.5,1.06,84.8,48.3,7.4,1375,2,2.65
6,Chicken and White Wine Stew,44,1437,133.5,50.6,34.4,0.94,44.5,12.2,11.5,1825,4,2.35
7,Chicken Chow Mein,63,773,48.1,117.5,17.7,9.02,15.6,4.3,5.8,796,2,22.55
8,Chicken fajitas,54,1880,145.9,159,36.4,4.71,79,33.1,16.9,1611,2,11.775
9,Good Old Chilli Con Carne,68,3358,134.7,573,112.8,9.23,64.6,17.8,65.6,3571,6,23.075
10,Griddled Lamb Chops with Chunky Salsa,45,1283,93.1,18.8,17.4,0.88,93.4,43,5.1,1013,2,2.2
11,Super-quick Salmon Stir-Fry,20,1656,93,176.5,13.5,1.76,63.4,10.7,1.8,970,2,4.4
12,Italian Pan-Seared Tuna,39,1462,202,18.6,13.4,42.7,64.8,12.4,5.2,1331,2,106.75
13,Kedgeree,34,1817,189.5,220.8,8.4,3.94,18.9,1.6,6.9,1452,4,9.85
14,Lamb and Red Wine Stew,44,1187,81,36.6,20.4,1.22,43.5,19.7,16,1825,4,3.05
15,Meatballs and Pasta,46,3173,172.9,406.1,42.6,5.12,105.8,41.2,21.2,2041,4,12.8
16,Mini Shell Pasta with a Creamy Smoked Bacon and Pea Sauce,37,2656,142.8,256.8,20.4,8.27,125,63.3,15.3,1195,4,20.675
17,Moroccan Lamb with Couscous,60,1887,85.9,207.5,40,3.1,84.4,32.4,13.1,1537,2,7.75
18,My Sweet and Sour Pork,60,1344,67.6,216.6,47.3,3.07,23,6.3,9.8,1214,2,7.675
19,Pork and Cider Stew,44,1082,107.5,48.6,32.4,1.24,37.5,12.7,11.5,1825,4,3.1
20,Pork Kebabs,62,770,96.5,32.1,24.9,0.62,29,9.7,4.6,1060,2,1.55
21,Salmon Baked in a Foil Parcel with Green Beans and Pesto,46,1003,94.3,12.8,9.6,0.81,64.1,8,5.5,810,2,2.025
22,Spicy Moroccan Stewed Fish with Couscous,57,1032,121.1,123,24.4,1.87,9.7,1.9,4.5,1550,2,4.675
23,"Butternut Squash with Quinoa, Feta, Basil and Mint",80,2876,129.9,391.9,161.3,15.35,99.3,56.6,36.2,3010,4,38.375
24,"Fig, Cream Cheese, and Mint Tart",33,5657,64.2,494.6,264.4,7.17,393.9,173.6,40.9,1520,6,17.925
25,Incredibly Naughty Mini Toad-in-the-Hole,0,3450,173.8,160.2,29.8,19.98,239.6,95.2,3.6,1569,4,49.95
26,"Pork with Calvados, Caramelised Apples and Mustard Mash",39,4644,279.9,291,147.4,8.3,262.5,115.9,25.7,3907,4,20.75
27,"Prosciutto, Mozzerella and Fig Pizza",31,2490,128.2,295.2,109.2,13.54,96.6,42.3,23.7,1075,4,33.85
28,Steak Pies with Wild Mushrooms and Madeira,11,4731,256,220.8,31.4,11.68,297.6,131.8,6,2101,4,29.2
29,Troute en Papillote with Sauternes and Almonds,22,2201,292.9,13.3,11.4,2.48,98.3,6.1,4.2,1772,4,6.2
30,"Beer braised pork knuckles with caraway, garlic, apples and potatoes",37,5361,408.2,228.4,52.6,8.33,306.9,102,20.8,4001,4,20.825
31,Carbonnade à la flamande,18,4547,479.2,171,116.4,21.52,211.1,81.7,11.4,3876,8,53.8
32,Cheesy chilli,49,2270,175,94.2,33.5,8.76,135.1,63,28.3,1699,4,21.9
33,Chorizo and chickpea stew,46,4510,186.5,629.5,85.6,15.04,143.1,40.6,49.9,3694,4,37.6
34,Crisp chicken cutlets with salad on the side,28,2240,222.4,127.1,33.1,7.48,96.6,34.4,10.5,1780,4,18.7
35,Crustless Pizza,0,1169,60.4,90.9,14.5,3.08,65,35,3.1,567,2,7.7
36,"Curly pasta with feta, spinach and pine nuts",49,2651,132.5,304.9,30.3,10.61,108.9,41.8,13.9,1485,6,26.525
37,Greek lamb chops with lemon and potatoes,12,2901,194.1,121.9,12.2,7.23,185.3,85.3,8.4,2173,6,18.075
38,Lemony salmon with cherry tomato couscous,30,1339,104.2,119.3,13.1,8.11,52.1,8.8,3.7,1284,4,20.275
39,Mexican lasagne with avocado salsa,63,3186,162.8,441.1,59.8,25.31,97.9,55.6,44.1,3242,8,63.275
40,Pantry Paella,34,3179,143.1,226.4,13.4,11.97,181.9,56.6,10.9,1440,4,29.925
