FoodID,Food,Foodgroup,unit,g
01.197,"Cocoa, prepared from instant powder and low-fat milk",Milk and milk based beverages,dl,100
01.197,"Cocoa, prepared from instant powder and low-fat milk",Milk and milk based beverages,tbsp,11
01.197,"Cocoa, prepared from instant powder and low-fat milk",Milk and milk based beverages,tsp,5
01.196,"Cocoa, prepared with low-fat milk",Milk and milk based beverages,dl,100
01.196,"Cocoa, prepared with low-fat milk",Milk and milk based beverages,tbsp,11
01.196,"Cocoa, prepared with low-fat milk",Milk and milk based beverages,tsp,5
01.008,"Milk beverage, chocolate flavour",Milk and milk based beverages,dl,100
01.008,"Milk beverage, chocolate flavour",Milk and milk based beverages,tbsp,11
01.008,"Milk beverage, chocolate flavour",Milk and milk based beverages,tsp,5
01.280,"Milk beverage, chocolate flavour, no added sugar, Litago Uten",Milk and milk based beverages,dl,100
01.280,"Milk beverage, chocolate flavour, no added sugar, Litago Uten",Milk and milk based beverages,tbsp,11
01.280,"Milk beverage, chocolate flavour, no added sugar, Litago Uten",Milk and milk based beverages,tsp,5
01.127,"Milk beverage, with chocolate flavour, Litago",Milk and milk based beverages,dl,100
01.127,"Milk beverage, with chocolate flavour, Litago",Milk and milk based beverages,tbsp,11
01.127,"Milk beverage, with chocolate flavour, Litago",Milk and milk based beverages,tsp,5
01.288,"Milk, chocolate, Styrk kakao",Milk and milk based beverages,dl,100
01.288,"Milk, chocolate, Styrk kakao",Milk and milk based beverages,tbsp,11
01.288,"Milk, chocolate, Styrk kakao",Milk and milk based beverages,tsp,5
01.170,"Milk, cultured, Biola",Milk and milk based beverages,dl,100
01.170,"Milk, cultured, Biola",Milk and milk based beverages,tbsp,11
01.170,"Milk, cultured, Biola",Milk and milk based beverages,tsp,5
01.082,"Milk, cultured, plain, organic",Milk and milk based beverages,dl,100
01.082,"Milk, cultured, plain, organic",Milk and milk based beverages,tbsp,11
01.082,"Milk, cultured, plain, organic",Milk and milk based beverages,tsp,5
01.237,"Milk, cultured, semi-skimmed, 0,1 % fat, blueberry and raspberry, BioQ",Milk and milk based beverages,dl,100
01.237,"Milk, cultured, semi-skimmed, 0,1 % fat, blueberry and raspberry, BioQ",Milk and milk based beverages,tbsp,11
01.237,"Milk, cultured, semi-skimmed, 0,1 % fat, blueberry and raspberry, BioQ",Milk and milk based beverages,tsp,5
01.171,"Milk, cultured, skimmed, blueberry, Biola",Milk and milk based beverages,dl,100
01.171,"Milk, cultured, skimmed, blueberry, Biola",Milk and milk based beverages,tbsp,11
01.171,"Milk, cultured, skimmed, blueberry, Biola",Milk and milk based beverages,tsp,5
01.214,"Milk, cultured, skimmed, raspberry, Biola",Milk and milk based beverages,dl,100
01.214,"Milk, cultured, skimmed, raspberry, Biola",Milk and milk based beverages,tbsp,11
01.214,"Milk, cultured, skimmed, raspberry, Biola",Milk and milk based beverages,tsp,5
01.085,"Milk, cultured, skimmed, Skummet kulturmelk",Milk and milk based beverages,dl,100
01.085,"Milk, cultured, skimmed, Skummet kulturmelk",Milk and milk based beverages,tbsp,11
01.085,"Milk, cultured, skimmed, Skummet kulturmelk",Milk and milk based beverages,tsp,5
01.213,"Milk, cultured, skimmed, strawberry, Biola",Milk and milk based beverages,dl,100
01.213,"Milk, cultured, skimmed, strawberry, Biola",Milk and milk based beverages,tbsp,11
01.213,"Milk, cultured, skimmed, strawberry, Biola",Milk and milk based beverages,tsp,5
01.084,"Milk, cultured, whole, Kefir",Milk and milk based beverages,dl,100
01.084,"Milk, cultured, whole, Kefir",Milk and milk based beverages,tbsp,11
01.084,"Milk, cultured, whole, Kefir",Milk and milk based beverages,tsp,5
01.083,"Milk, cultured, whole, Kulturmelk",Milk and milk based beverages,dl,100
01.083,"Milk, cultured, whole, Kulturmelk",Milk and milk based beverages,tbsp,11
01.083,"Milk, cultured, whole, Kulturmelk",Milk and milk based beverages,tsp,5
01.109,"Milk, for coffee, 3,5 % fat",Milk and milk based beverages,dl,100
01.109,"Milk, for coffee, 3,5 % fat",Milk and milk based beverages,tbsp,11
01.109,"Milk, for coffee, 3,5 % fat",Milk and milk based beverages,tsp,5
01.013,"Milk, goat, UHT-treated",Milk and milk based beverages,dl,100
01.013,"Milk, goat, UHT-treated",Milk and milk based beverages,tbsp,11
01.013,"Milk, goat, UHT-treated",Milk and milk based beverages,tsp,5
01.274,"Milk, semi-skimmed, 0,5 % fat, vitamin D",Milk and milk based beverages,dl,100
01.274,"Milk, semi-skimmed, 0,5 % fat, vitamin D",Milk and milk based beverages,tbsp,11
01.274,"Milk, semi-skimmed, 0,5 % fat, vitamin D",Milk and milk based beverages,tsp,5
01.230,"Milk, semi-skimmed, 0,5 % fat, vitamin D, Q-meieriene",Milk and milk based beverages,dl,100
01.230,"Milk, semi-skimmed, 0,5 % fat, vitamin D, Q-meieriene",Milk and milk based beverages,tbsp,11
01.230,"Milk, semi-skimmed, 0,5 % fat, vitamin D, Q-meieriene",Milk and milk based beverages,tsp,5
01.231,"Milk, semi-skimmed, 0,5-0,7 % fat, unspecified",Milk and milk based beverages,dl,100
01.231,"Milk, semi-skimmed, 0,5-0,7 % fat, unspecified",Milk and milk based beverages,tbsp,11
01.231,"Milk, semi-skimmed, 0,5-0,7 % fat, unspecified",Milk and milk based beverages,tsp,5
01.285,"Milk, semi-skimmed, 0,7 % fat, organic",Milk and milk based beverages,dl,100
01.285,"Milk, semi-skimmed, 0,7 % fat, organic",Milk and milk based beverages,tbsp,11
01.285,"Milk, semi-skimmed, 0,7 % fat, organic",Milk and milk based beverages,tsp,5
01.192,"Milk, semi-skimmed, 0,7 % fat, vitamin D, Tine",Milk and milk based beverages,dl,100
01.192,"Milk, semi-skimmed, 0,7 % fat, vitamin D, Tine",Milk and milk based beverages,tbsp,11
01.192,"Milk, semi-skimmed, 0,7 % fat, vitamin D, Tine",Milk and milk based beverages,tsp,5
01.228,"Milk, semi-skimmed, 1 % fat, Q-meieriene",Milk and milk based beverages,dl,100
01.228,"Milk, semi-skimmed, 1 % fat, Q-meieriene",Milk and milk based beverages,tbsp,11
01.228,"Milk, semi-skimmed, 1 % fat, Q-meieriene",Milk and milk based beverages,tsp,5
