Ingredients;Foodgroup;unit_enhet;g;reference;ID;language
Drikkeyoghurt;Melk og meieriprodukter;dl;100;e;99;norwegian
Yoghurt drink;Milk and dairy products;dl;100;e;99;english
Drikkeyoghurt;Melk og meieriprodukter;tbsp;11;e;99;norwegian
Yoghurt drink;Milk and dairy products;tbsp;11;e;99;english
Drikkeyoghurt;Melk og meieriprodukter;tsp;5;e;99;norwegian
Yoghurt drink;Milk and dairy products;tsp;5;e;99;english
Fløte;Melk og meieriprodukter;dl;100;e;151;norwegian
Cream;Milk and dairy products;dl;100;e;151;english
Fløte;Melk og meieriprodukter;tbsp;11;e;151;norwegian
Cream;Milk and dairy products;tbsp;11;e;151;english
Fløte;Melk og meieriprodukter;tsp;5;e;151;norwegian
Cream;Milk and dairy products;tsp;5;e;151;english
Fløteerstatning, vegetabilsk fløte;Melk og meieriprodukter;dl;100;e;152;norwegian
Cream substitute, vegetable fat;Milk and dairy products;dl;100;e;152;english
Fløteerstatning, vegetabilsk fløte;Melk og meieriprodukter;tbsp;11;e;152;norwegian
Cream substitute, vegetable fat;Milk and dairy products;tbsp;11;e;152;english
Fløteerstatning, vegetabilsk fløte;Melk og meieriprodukter;tsp;5;e;152;norwegian
Cream substitute, vegetable fat;Milk and dairy products;tsp;5;e;152;english
Kaffemelk;Melk og meieriprodukter;dl;100;e;248;norwegian
Coffee creamer;Milk and dairy products;dl;100;e;248;english
Kaffemelk;Melk og meieriprodukter;tbsp;11;e;248;norwegian
Coffee creamer;Milk and dairy products;tbsp;11;e;248;english
Kaffemelk;Melk og meieriprodukter;tsp;5;e;248;norwegian
Coffee creamer;Milk and dairy products;tsp;5;e;248;english
Kaffemelk;Melk og meieriprodukter;porsjon;10;ģ;248;norwegian
Coffee creamer;Milk and dairy products;portion;10;ģ;248;english
Krem/topping på boks;Melk og meieriprodukter;dl;25;a;313;norwegian
Whipped cream, canned;Milk and dairy products;dl;25;a;313;english
Krem/topping på boks;Melk og meieriprodukter;tbsp;2,5;a;313;norwegian
Whipped cream, canned;Milk and dairy products;tbsp;2,5;a;313;english
Melk;Melk og meieriprodukter;dl;100;e;389;norwegian
Milk;Milk and dairy products;dl;100;e;389;english
Melk;Melk og meieriprodukter;tbsp;11;e;389;norwegian
Milk;Milk and dairy products;tbsp;11;e;389;english
Melk;Melk og meieriprodukter;tsp;5;e;389;norwegian
Milk;Milk and dairy products;tsp;5;e;389;english
Melkepulver;Melk og meieriprodukter;dl;55;a;390;norwegian
Instant coffee creamer;Milk and dairy products;dl;55;a;390;english
Melkepulver;Melk og meieriprodukter;tbsp;6;a;390;norwegian
Instant coffee creamer;Milk and dairy products;tbsp;6;a;390;english
