No,Name,Weight,Calorie,Protein ,Carbohydrates ,Sugar,Fat ,Saturated ,Fiber,Sodium,Source,Country,Original_Portion
1,Potato Crust Pizza,100,15.61316,0.86908,1.26825,0.0859,1.13688,0.47496,0.12632,0.041432974,allrecipes,US,8
2,Mexican Meatloaf II,100,19.21275,1.56005,0.53398,0.07329,1.1936,0.50257,0.07329,0.049209764,allrecipes,US,8
3,Cap Cai,100,16.53614,1.25013,1.2369,0.42333,0.78712,0.12567,0.29104,0.054238544,allrecipes,US,4
4,Pork Chops with Tomatoes and String Beans,100,26.01281,1.92943,0.74076,0.24118,1.73419,0.5972,0.29286,0.045938729,allrecipes,US,4
5,Easy Crab Linguine,100,26.37153,1.20966,3.78656,0.72765,0.73692,0.42176,0.16222,0.042639378,allrecipes,US,6
6,Aunt Jewel's Chicken Dressing Casserole,100,8.60843,1.07605,0.57633,0.09119,0.18968,0.05471,0.08025,0.027357286,allrecipes,US,12
7,Orecchiette and Broccoli Crisp,100,64.34165,2.22007,7.61282,0.45209,2.94664,1.29168,0.60547,0.050052474,allrecipes,US,4
8,Ki See Ming,100,23.336,1.39064,1.60018,0.48101,1.27634,0.56197,0.30003,0.096677716,allrecipes,US,4
9,Roasted Vegetables and Puff Pastry,100,52.74819,1.45718,3.50234,0.82659,3.65573,1.50831,0.29825,0.098849595,allrecipes,US,4
10,Sweet and Sour Pasta,100,35.18769,1.58515,5.88967,0.8609,0.71059,0.19131,0.39629,0.027330245,allrecipes,US,5
11,German Rouladen,100,11.57641,0.83754,0.33765,0.17979,0.76299,0.33326,0.07893,0.063582548,allrecipes,US,6
12,Aloo Phujia,100,25.44584,0.35732,2.7828,0.43312,1.52675,0.20573,0.43312,0.06388531,allrecipes,US,4
13,Cornbread that is a Meal,100,33.29522,1.34919,3.21061,0.69975,1.70135,0.69975,0.08232,0.08049394,allrecipes,US,6
14,Christy's Pork Chops Normandy,100,35.84392,1.81481,1.30033,0.4636,2.06357,1.13072,0.09046,0.015264759,allrecipes,US,4
15,Talerine,100,31.82391,1.6178,3.26222,0.47896,1.39961,0.63329,0.26609,0.092598013,allrecipes,US,6
16,Classic Bangers and Mash,100,27.27494,0.7948,2.67103,0.29533,1.53747,0.62541,0.31271,0.086862861,allrecipes,US,4
17,Burek,100,61.51637,2.30783,5.61906,0.15437,3.24948,1.42792,0.36277,0.06174793,allrecipes,US,4
18,General Tsao's Chicken II,100,27.72118,1.0625,2.40046,0.77392,1.59594,0.26672,0.03498,0.052031866,allrecipes,US,6
19,Stuffed Bell Peppers,100,30.43565,3.27813,2.18542,0.53205,1.17852,0.29177,0.44052,0.080093824,allrecipes,US,4
20,Tater Tot Casserole IV,100,28.04642,1.18375,1.73308,0.16248,1.96132,0.59961,0.16634,0.070793037,allrecipes,US,6
21,Crustless Quiche Lori-iane,100,26.52801,1.27678,0.70124,0.22493,2.14341,1.27017,0.16539,0.052923704,allrecipes,US,6
22,Chompchae Deopbap (Korean Spicy Tuna and Rice),100,44.96576,2.54433,7.0009,0.33604,0.72009,0.12002,0.38405,0.120815464,allrecipes,US,2
23,Slumgullion,100,18.27167,0.88411,2.35764,0.32644,0.58487,0.22216,0.19042,0.027656874,allrecipes,US,8
24,Sweet Polish Sausage,100,60.05554,2.02338,2.93461,2.43953,4.44856,1.50677,0.0287,0.165027158,allrecipes,US,4
25,Steak and Rice,100,21.53163,1.49574,1.88532,0.21914,0.81048,0.25393,0.10435,0.05878588,allrecipes,US,4
26,Chicago-Style Pan Pizza,100,25.49816,1.4249,2.06456,0.37056,1.20874,0.4632,0.21616,0.080288332,allrecipes,US,6
27,Mimi's Slumgullion,100,40.46597,1.12697,2.61014,0.36787,2.82619,1.08026,0.36203,0.072406645,allrecipes,US,4
28,Angel Hair de la Mer,100,25.9897,1.9813,1.87202,0.21856,1.13556,0.40861,0.11403,0.096926849,allrecipes,US,6
29,Celery Wine Baked Chicken,100,28.95097,2.50412,0.80057,0.16756,1.61046,0.79126,0.09309,0.066093853,allrecipes,US,4
30,Fried Soft-Shell Crab,100,28.38116,0.72142,2.01364,0.12684,1.93436,0.29332,0.06342,0.00634216,allrecipes,US,4
31,Smothered Filet Mignon,100,45.93334,2.74822,1.04323,0.53719,3.37883,1.26901,0.14014,0.053718654,allrecipes,US,4
32,Freak'n Good Ribs,100,37.44704,0.98814,5.86682,4.97714,1.14492,0.40109,0.06563,0.080582234,allrecipes,US,4
33,Mediterranean Pasta,100,42.19666,3.05841,3.42974,0.33082,1.79589,0.54012,0.33757,0.061438332,allrecipes,US,4
34,Saucy Chicken Cordon Bleu,100,34.35046,2.25055,2.35355,0.2369,1.6995,0.5974,0.1339,0.076219905,allrecipes,US,5
35,White Cheddar Macaroni with Bacon and Thyme,100,27.14768,1.3493,2.23807,0.27875,1.39778,0.76757,0.11716,0.037166461,allrecipes,US,8
36,Schnitzel with a Twist,100,74.06552,2.06034,3.88089,0.17762,5.69257,3.02834,0.23978,0.063053382,allrecipes,US,4
37,Vegetarian Reubens,100,38.981,1.39453,2.55847,0.80158,2.64632,1.19139,0.3404,0.104315362,allrecipes,US,6
38,Brined Bratwurst,100,22.38494,0.86146,0.5482,0.29368,1.84039,0.6461,0.0261,0.052209779,allrecipes,US,5
39,Green Bell Peppers stuffed with Tomato Lentil Couscous,100,29.64892,1.4878,1.50921,0.47809,1.98016,0.8884,0.22834,0.035321821,allrecipes,US,6
40,Funky Enchilada Casserole,100,21.93872,1.50068,2.41142,0.18436,0.74112,0.32447,0.55676,0.032815899,allrecipes,US,6
41,Cajun-Style Beef and Beans,100,19.10982,1.10789,2.33672,0.20803,0.55152,0.20803,0.2806,0.047895501,allrecipes,US,5
42,Easy Slow Cooker Carne Guisada,100,11.60461,0.76096,0.71974,0.08561,0.62779,0.24414,0.13,0.021560471,allrecipes,US,8
43,Crispy Flautas,100,17.45428,1.11468,1.53337,0.174,0.77212,0.20119,0.2175,0.039149797,allrecipes,US,6
44,Polish Meat Balls,100,8.88868,0.7455,0.38318,0.08602,0.4692,0.17204,0.03128,0.024502521,allrecipes,US,16
45,Baked Macaroni and Cheese I,100,44.81696,2.21726,3.45169,0.58183,2.48459,1.50962,0.15725,0.04560322,allrecipes,US,5
46,Tomato-Sauerkraut Pork,100,15.66392,1.76516,0.37809,0.22254,0.74323,0.2463,0.13611,0.040618174,allrecipes,US,6
47,Cheesy Broccoli Bake,100,27.84014,1.23366,1.66379,0.44903,1.78668,0.68537,0.16071,0.073736204,allrecipes,US,8
48,Sheboygan Grilled Brats,100,17.52112,0.57419,1.02699,0.11812,1.08277,0.41014,0.04265,0.033139201,allrecipes,US,10
49,Chicken Celery Casserole,100,19.43605,1.90658,1.2834,0.38255,0.73425,0.16042,0.22213,0.086382427,allrecipes,US,4
50,Italian Style Meatloaf II,100,42.29724,2.19572,1.22538,0.6469,3.16607,1.2627,0.11818,0.04851742,allrecipes,US,5
51,Charleston Shrimp 'n' Gravy,100,21.78848,2.27826,1.04386,0.19055,0.91959,0.42251,0.11598,0.090302056,allrecipes,US,4
52,Busy Day Barbeque Brisket,100,20.50055,0.98624,1.07489,0.71475,1.33531,0.51528,0.05541,0.065934188,allrecipes,US,8
53,Walter's Chicken and Mac,100,30.48167,2.12078,2.38677,0.266,1.34436,0.71172,0.11503,0.050323508,allrecipes,US,6
54,Kathy's Easy Chile Chicken and Rice,100,37.75263,2.33221,3.97204,0.46644,1.33373,0.69966,0.1822,0.091101896,allrecipes,US,4
55,Creamy Linguini for Two,100,205.51067,5.48995,17.77502,0.87011,12.86513,7.29231,0.84939,0.136730889,allrecipes,US,2
56,French Dip Sandwiches,100,15.15614,1.20597,1.21412,0.06519,0.58669,0.21593,0.06111,0.04766852,allrecipes,US,10
57,Bacon-Wrapped Chicken Stuffed with Spinach and Ricotta,100,46.72934,3.45999,0.58314,0.05443,3.35891,1.17406,0.14773,0.083972849,allrecipes,US,4
58,Vegetarian Burrito Casserole,100,16.3374,1.7077,1.20682,0.21178,0.60509,0.32608,0.25884,0.06084504,allrecipes,US,8
59,Lemon-Pepper Salmon,100,34.18311,2.16905,2.4848,0.0961,1.61306,0.46676,0.21279,0.071386406,allrecipes,US,4
60,Ham and Beans and More,100,14.80946,0.82275,1.28736,0.08389,0.7195,0.24844,0.39363,0.03065139,allrecipes,US,8
61,On the Go Casserole,100,42.34298,1.88827,2.38418,0.37193,2.87055,1.25885,0.23842,0.108718457,allrecipes,US,4
62,Black-Eyed Pea Pie,100,24.73483,0.89945,1.50162,0.08766,1.71124,0.63266,0.24392,0.039255592,allrecipes,US,8
63,Turkey Ragu with Fontina and Parmesan,100,19.68532,1.21572,2.32857,0.2525,0.61721,0.24782,0.16833,0.032263344,allrecipes,US,8
64,Make Ahead Manicotti,100,22.8219,1.29639,2.51176,0.82825,0.85976,0.42763,0.28809,0.047714434,allrecipes,US,6
65,Yummy Lasagna,100,34.30691,2.27595,1.87738,0.36877,1.94443,0.88282,0.17507,0.058481928,allrecipes,US,6
66,Green Olive Chicken I,100,40.42599,2.25772,3.51438,0.28115,1.93823,0.48136,0.47284,0.055804047,allrecipes,US,3
67,Mom's Chicken Paprika,100,33.36148,2.44352,0.65827,0.11373,2.27465,0.64104,0.07927,0.021712533,allrecipes,US,5
68,Grilled Swordfish,100,32.73782,4.32139,0.57993,0.49574,1.32822,0.31802,0.00935,0.151529324,allrecipes,US,4
69,Almond-Crusted Halibut Crystal Symphony,100,37.99241,2.53489,0.50202,0.09297,2.82619,1.22096,0.12396,0.009296676,allrecipes,US,6
70,Waterzooi (Vaterzoy),100,12.56184,0.85465,0.26524,0.06999,0.89149,0.32418,0.03684,0.030207362,allrecipes,US,6
71,Savory Stuffed Zucchini,100,51.21765,2.00939,1.41968,0.52419,4.41193,1.61625,0.41498,0.067707764,allrecipes,US,4
72,Grilled Veggie-Portobello Mushroom Burgers,100,20.32285,0.49669,1.78394,0.29801,1.32864,0.28146,0.2856,0.060016556,allrecipes,US,6
73,Turkey Meatloaf and Gravy,100,16.9419,1.15936,1.05585,0.52447,0.91438,0.383,0.08971,0.049687041,allrecipes,US,6
74,Thai Steamed Mussels,100,16.27131,1.62377,0.71943,0.09077,0.82029,0.4673,0.04034,0.045384864,allrecipes,US,6
75,Manicotti Shells,100,32.66699,1.55046,4.7099,0.06826,0.78986,0.23403,0.16577,0.024378352,allrecipes,US,4
76,Indian Shrimp Curry,100,30.08933,1.66359,0.7884,0.25316,2.3218,1.48277,0.20976,0.067267007,allrecipes,US,4
77,Potato Lasagna,100,23.46148,0.94284,3.63251,0.59933,0.61029,0.34352,0.41295,0.031428154,allrecipes,US,4
