No,Selected Meals,Ingredients,Weight,kJ,Calorie,Fat ,Saturated ,Carbohydrates,Sugar,Fiber,Protein,Sodium,Source,Country,,,
1,Lamb steak,"1 piece of lamb thighs, approx. 2.5 kg
2 tsp salt
1 teaspoon pepper
2 tsp crushed rosemary
(possibly 2-3 garlic boats)
1 onion in boats
2 carrots in large pieces
0.75 l water
Sauce
1 liter roast, power or broth
5 tablespoons wheat flour, stir in a little cold water
1 tablespoon black currant juice or some red wine
1 tbsp soy sauce
salt and pepper to taste",100,496.0274515,118.701333,6.197703576,2.650125379,2.103734987,0.015837403,0.380097664,13.38788439,0.19804672,Aperitif,Norway,,,
2,Risotto with Cantherelle,"400 g Vialone Nano or other risottoris
8 dl of chicken or veal
4 tablespoons unsalted butter
the leaves of 2 twigs fresh thyme
1 piece finely chopped shallots
200 g chanterelles, fresh or from the freezer
50 g parmask in thin strips
salt and freshly ground pepper
4 tablespoons grated parmesan",100,959.147965,227.5389882,6.793457588,3.796120198,29.98858882,2.556104983,0.798782807,11.28946367,9.727729176,Aperitif,Norway,,,
3,Jam Salmon,"300 g of salmon fillet
Lake
1 cup white wine vinegar
1 dl sugar
2dl water
2 tsp salt
1 piece of bay leaf
0.5 tsp pepper, whole
0.5 tsp coriander seeds
1 piece red onion, small
50 g carrot, shredded
50 g of ginger, pickled",100,518.0464564,123.1685527,4.395473497,0.714711138,12.97200715,10.72066707,1.012507445,7.468731389,0.681953544,Aperitif,Norway,,,
4,Zarzuella,"1 stk liten løk
2 båter hvitløk
2 stk tomater
persille
250 g blekksprut-ringer
500 g steinbitfilet
250 g store reker
1 stk kilo friske blåskjell
0.4 stk ltr hvitvin
1 stk loff",100,302.8852682,71.79226069,1.191446029,0.237610319,2.192803802,0,0.5634759,10.45824847,0.278411405,Aperitif,Norway,,,
5,Ceviche of saithe with orange avocado and chili,"400 g sei
2 stk lime
1 ts fingersalt
1 stk avocado
1 stk appelsin
1 stk chili, rød
2 ss thaibasilikum
1 ss sesamfrø, svarte
1 ss extra virgin olivenolje
1 ts sesamolje",100,401.986755,96.46799117,5.982339956,0.938189845,1.931567329,0,1.379690949,8.046357616,0.335540839,Aperitif,Norway,,,
6,Fish and Chips,"To the chips
1 l neutral vegetable oil (rapeseed, corn, peanut) for deep frying
4 potatoes
sea ​​salt
For the fish
125 grams of pure wheat flour
A little corn flour
cold water
salt
4 pieces of knit flab fillets (170 - 200 grams) or other white fish
For serving
1 piece of lemon
parsley
sea ​​salt
paprika powder for decoration",100,1916.632231,464.6177686,46.6322314,22.10227273,5.800619835,0,1.265495868,4.865702479,0.438894628,Aperitif,Norway,,,
7,Calf steak in pot,"
1.2 kg calf text
2 tsp salt
1 teaspoon pepper
2 tablespoons butter
2 tablespoons basil, spices
2 cups cream
2dl water
Sauce
4 dl broth
2 tsp corn maize
3 tablespoons water
2 tablespoons pickled red pepper
2 tablespoons butter
0.5 tsp pepper
0.5 tsp salt",100,516.8198529,123.5753676,6.686580882,3.800551471,0.854779412,0.059742647,0.151654412,14.94025735,0.192463235,Aperitif,Norway,,,
8,Veallo from Sardinia - Vitello alla Sarda,"
1.5 kg calf text
6 tablespoons olive oil
4 tablespoons wheat flour
2 tsp salt
1 teaspoon coarsely ground pepper
0.5 leeks
2 carrots
1 parsley
2 garlic boats
Sauce
1 cup dry white wine
5 dl water
1 tbsp corn corn
2 tablespoons finely chopped fresh sage
2 tablespoons of hijackers
2 tablespoons butter
500 g chanterelles
400 g spinach",100,436.3611265,104.445058,6.12368857,2.244616234,1.899503037,0,1.214798454,9.398122583,0.208365544,Aperitif,Norway,,,
9,Mantza,"750 g grilled and cleaned green bell peppers
300 g grilled and purified red bell peppers
300 g peeled and sautéed eggplant in cubes (4x4 cm)
3 finely cut onions
300 g crushed tomatoes
5 whole tomatoes
300 g fat cheese in cubes (2x2 cm)
300 g semi-solid cheese in cubes (2x2 cm)
fresh oregano and parsley
olive oil
salt and pepper",100,346.908097,83.39596857,5.339938504,3.231978135,2.955244277,0,1.605739665,5.083703451,0.243901606,Aperitif,Norway,,,
10,Red beef curry(Thailand),"8 pcs of red chilies, dried, soaked in warm water 15 min
3 pieces of coffee lime leaves, dried, soaked in warm water 15 min
1 tbsp coriander seeds
0.5 tsp caraway seeds
1 tsp shrimp paste
1 piece of lemongrass root, chopped
1 piece onion, finely chopped
4 garlic cloves
1 piece thai ginger (kha) about 2 cm or 1 tablespoon laos powder
2 tablespoons vegetable oil
8 cups coconut milk
1 kg of beef from thigh or high back
1 piece fresh red chili without seeds, chopped
200 g of green
beans, cut
2 tablespoons of fish sauce",100,621.9936413,149.8036282,11.45689172,9.141574715,1.862726763,0.014961661,1.223115766,9.190200113,0.095118758,Aperitif,Norway,,,445.5833333
11,Soy Marinate Salmon,"800 g of salmon fillet without skins and bones
marinade
1 cup squeezed lemon juice
0.5 dl of soy sauce
3 tablespoons white wine
1 dl sugar
1 piece finely chopped shallots
2 pieces of pressed garlic cloves
1 tablespoon fresh grated ginger root
4 tablespoons butter
1 tsp corn corn
5 small spring onions
1 dl of sour cream
Salt and pepper",100,550.8196721,132.226603,8.362730857,2.71425607,6.063498651,4.150238639,0.224112886,7.723594107,0.319360863,Aperitif,Norway,,,
12,"
Muslim steak curry","750 g oksekjøtt, bog eller lår
3 stk røde chilis, tørkede uten frø
1 ss korianderfrø
0.5 ts rekepasta
1 stk thai-ingefær (kha) ca 2 cm
1 stk sitrongressrot, hakket
4 stk hvitløkfedd
2 dl vegetabilsk olje
1 stk løk
1 stk kanelstang
2 stk nellikspiker
4 stk kardemommebelger
8 stk karriblader eller 3 laurbærblader
4 dl kokosfløte
2 ss peanøttsmør, crunchy
2 ss vineddik eller tamarindpasta
1 ss brunsukker
1 ss fiskesaus",100,955.0140303,229.9808005,17.94121991,10.10781273,4.684684686,0.620292424,2.18579235,11.40747305,0.098478807,Aperitif,Norway,,,
13,Grilled salmon / trout,"""800 g fillet of salmon / trout or
1 kg slices of salmon / trout
1 dl oil
1 teaspoon white pepper
1 teaspoon salt """,100,1270.588235,305.9933407,25.33851276,5.627081021,0.188679245,0,0.110987791,19.33407325,0.34972253,Aperitif,Norway,,,
14,Chicken thighs with barley pig and grilled paprika,"""4 large grilled chicken thighs
3 serving portions of barley pig
1 glass of grilled bell pepper, canned
6 spring onions
dressing
2 dl light streams
0.5 tsp salt
0.25 ts pepper """,100,797.8132885,189.823381,7.039529016,2.91000841,23.70058873,0,1.10176619,7.417998318,0.197476871,Aperitif,Norway,,,
15,"
Satay of pigs with honey and ginger","""
400 g of pork
12 small wooden skewers
salt
oil for frying
2 tablespoons of honey
1 teaspoon ginger, pickled
Accessories
2 shallots, finely chopped
1 tsp curry paste, red
2 cups coconut milk
2 tablespoons yogurt
1 piece of lime
0.5 pieces of mango
2 tablespoons coriander, fresh
1 tsp lime juice
1 piece of red onion
1 teaspoon fresh coriander, finely chopped
1 teaspoon chili powder, red
1 tsp lime juice
Pickled garlic and chilli """,100,968.7324088,234.1231257,20.6744793,9.381983181,5.910649404,0.196168739,0.869965713,5.64624806,0.311225969,Aperitif,Norway,,,
16,Sashimi of cod with apple and wasabi sorbet,"""Sashimimarinade
cod fillets
4 tablespoons rice vinegar
8 tablespoons soy
2 teaspoons sugar
the juice of ½ paste
Apple and wasabi sorbet
0.5 kg granny smith apple
2.5 dl sugar lime (2 parts sugar and 4.5 parts water)
the juice of 1 lemon
wasabi """,100,315.0801131,74.64655985,1.215834119,0.226201697,13.41187559,6.786050895,1.196983977,1.866163996,0.666352498,Aperitif,Norway,,,
17,Goran's Tuna pasta,"1 bag of pasta pipe
2 pieces of tuna in water
1 cup light streams
0.3 dl milk
1 leek
2 garlic boats
0.5 pcs red pepper
olive oil
black pepper
red pepper
different spices ",100,722.4130708,171.5123586,5.052366988,1.483033096,18.67616255,0,1.608713867,12.05697528,0.234268957,Aperitif,Norway,,,
18,Turkey fillet on party bed,"""1 piece turkey fillet, about 1 ½ kg (with leather)
1.5 kg party potatoes, or almond potatoes in boats
1 bacon
1 fennel in boats
1 piece of parsley root
2 tablespoons butter
3 tablespoons melted butter
1 teaspoon salt
0.5 teaspoons of ground pepper
1 cup sweet chili sauce """,100,471.5340672,112.4146579,4.929636338,2.03706284,6.303469416,1.039431517,0.713389996,10.37480842,0.151623241,Aperitif,Norway,,,
