Ingredients,sample_id,Source,Amounts_kg,FoodEx2,food_group,CO2,Landuse
celery,"""Herr von Ribbeck"" Pear Salad",kochbar,0.3,A00RY,Vegetables and vegetable products,0.2839693347,0.0119471055
celery,cabbage soup,bbc,0.8,A00RY,Vegetables and vegetable products,0.7572515592000001,0.031858948
celery,friday night veggie soup,allrecipes,0.4,A00RY,Vegetables and vegetable products,0.37862577960000005,0.015929474
celery,lamb barley soup,allrecipes,1.2,A00RY,Vegetables and vegetable products,1.1358773388,0.047788422
celery,slow cooker beef stew,bbc,0.8,A00RY,Vegetables and vegetable products,0.7572515592000001,0.031858948
celery,soup maker broccoli and stilton soup,bbc,0.4,A00RY,Vegetables and vegetable products,0.37862577960000005,0.015929474
celery,Vegetarian Pie with vegetarian mince,alberheijn,0.8,A00RY,Vegetables and vegetable products,0.7572515592000001,0.031858948
cheese pecorino,"""Herr von Ribbeck"" Pear Salad",kochbar,0.4,A02ZD,Milk and dairy products,6.5002360040000005,7.169609416
"lime, the juice","""Herr von Ribbeck"" Pear Salad",kochbar,0.029985007496251874,A03AJ,Fruit and vegetable juices and nectars (including concentrates),0.029547521349325336,0.03173274971514243
"lime, the juice",taco salad,bbc,0.045,A03AJ,Fruit and vegetable juices and nectars (including concentrates),0.044343442664999996,0.047622924134999994
pear,"""Herr von Ribbeck"" Pear Salad",kochbar,0.39,A01DP,Fruit and fruit products,0.09506641482000001,0.10820876858999999
pear,Pear cake,alberheijn,0.585,A01DP,Fruit and fruit products,0.14259962223,0.16231315288499998
pear,Roasted chicory with beet and pear,alberheijn,0.39,A01DP,Fruit and fruit products,0.09506641482000001,0.10820876858999999
pear,Speculoos sandwich with pear and walnuts,alberheijn,0.195,A01DP,Fruit and fruit products,0.04753320741000001,0.054104384294999995
sour cream 18 %,"""Herr von Ribbeck"" Pear Salad",kochbar,0.2,A02NB,Milk and dairy products,2.1364487359999997,2.086677368
sour cream 18 %,absolutely sinful chocolate chocolate chip cookies,allrecipes,0.16415000000000002,A02NB,Milk and dairy products,1.7534903000720001,1.7126404497860004
sour cream 18 %,beef goulash,bbc,0.15,A02NB,Milk and dairy products,1.602336552,1.565008026
sour cream 18 %,Blueberry pancakes,kochbar,0.25,A02NB,Milk and dairy products,2.67056092,2.60834671
sour cream 18 %,Delicious dubbeldecker sandwiches,kochbar,0.029985007496251874,A02NB,Milk and dairy products,0.32030715682158917,0.31284518260869565
sour cream 18 %,Pancake pie with spinach,alberheijn,0.24500000000000002,A02NB,Milk and dairy products,2.6171497016,2.5561797758000004
